C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG
시군구별,22264,22050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Buk-gu,북구,명,101,By Administrative District
시군구별,17965,22060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Suseong-gu,수성구,명,101,By Administrative District
시군구별,28259,22070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dalseo-gu,달서구,명,101,By Administrative District
시군구별,12997,22310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dalseong-gun,달성군,명,101,By Administrative District
시군구별,2581,22320,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Daegu Gunwi-gun,군위군,명,101,By Administrative District
시군구별,151782,23,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Incheon,인천광역시,명,101,By Administrative District
시군구별,6995,23010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jung-gu,중구,명,101,By Administrative District
시군구별,4727,23020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dong-gu,동구,명,101,By Administrative District
시군구별,23765,23030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Michuhol-gu,미추홀구,명,101,By Administrative District
시군구별,14097,23040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeonsu-gu,연수구,명,101,By Administrative District
시군구별,26676,23050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nam-Dong,남동구,명,101,By Administrative District
시군구별,27365,23060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Bupyeong-gu,부평구,명,101,By Administrative District
시군구별,14731,23070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gyeyang-gu,계양구,명,101,By Administrative District
시군구별,25978,23080,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seo-gu,서구,명,101,By Administrative District
시군구별,5848,23310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Ganghwa-gun,강화군,명,101,By Administrative District
시군구별,1600,23320,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Ongjin-gun,옹진군,명,101,By Administrative District
시군구별,69202,24,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwangju,광주광역시,명,101,By Administrative District
시군구별,5642,24010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dong-gu,동구,명,101,By Administrative District
시군구별,13531,24020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seo-gu,서구,명,101,By Administrative District
시군구별,11084,24030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nam-gu,남구,명,101,By Administrative District
시군구별,21484,24040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Buk-gu,북구,명,101,By Administrative District
시군구별,17461,24050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwangsan-gu,광산구,명,101,By Administrative District
시군구별,71342,25,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Daejeon,대전광역시,명,101,By Administrative District
시군구별,14190,25010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dong-gu,동구,명,101,By Administrative District
시군구별,13622,25020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jung-gu,중구,명,101,By Administrative District
시군구별,20438,25030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seo-gu,서구,명,101,By Administrative District
시군구별,12387,25040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yuseong-gu,유성구,명,101,By Administrative District
시군구별,10705,25050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Daedeok-gu,대덕구,명,101,By Administrative District
시군구별,51210,26,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Ulsan,울산광역시,명,101,By Administrative District
시군구별,10626,26010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jung-gu,중구,명,101,By Administrative District
시군구별,12845,26020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nam-gu,남구,명,101,By Administrative District
시군구별,7315,26030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dong-gu,동구,명,101,By Administrative District
시군구별,8720,26040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Buk-gu,북구,명,101,By Administrative District
시군구별,11704,26310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Ulju-gun,울주군,명,101,By Administrative District
시군구별,12908,27,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Sejong,세종특별자치시,명,101,By Administrative District
시군구별,583750,31,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gyeonggi-Do,경기도,명,101,By Administrative District
시군구별,11147,31010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Suwon-si,수원시장안구,명,101,By Administrative District
시군구별,11197,31020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seongnam-si,성남시수정구,명,101,By Administrative District
시군구별,22403,31030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Uijeongbu-si,의정부시,명,101,By Administrative District
시군구별,11078,31040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Anyang-si,안양시만안구,명,101,By Administrative District
시군구별,37303,31050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Bucheon-si,부천시,명,101,By Administrative District
시군구별,12289,31060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwangmyeong-si,광명시,명,101,By Administrative District
시군구별,25870,31070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Pyeongtaek-si,평택시,명,101,By Administrative District
시군구별,6285,31080,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dongducheon-si,동두천시,명,101,By Administrative District
시군구별,17415,31090,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Ansan-si,안산시상록구,명,101,By Administrative District
시군구별,20585,31100,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Goyang-si,고양시덕양구,명,101,By Administrative District
시군구별,2280,31110,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwacheon-si,과천시,명,101,By Administrative District
시군구별,8522,31120,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Guri-si,구리시,명,101,By Administrative District
시군구별,33036,31130,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Namyangju-si,남양주시,명,101,By Administrative District
시군구별,9014,31140,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Osan-si,오산시,명,101,By Administrative District
시군구별,22327,31150,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Siheung-si,시흥시,명,101,By Administrative District
시군구별,11654,31160,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gunpo-si,군포시,명,101,By Administrative District
시군구별,6512,31170,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Uiwang-si,의왕시,명,101,By Administrative District
시군구별,11957,31180,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hanam-si,하남시,명,101,By Administrative District
시군구별,13348,31190,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yongin-si,용인시처인구,명,101,By Administrative District
시군구별,22516,31200,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Paju-si,파주시,명,101,By Administrative District
시군구별,10849,31210,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Icheon-si,이천시,명,101,By Administrative District
시군구별,11154,31220,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Anseong-si,안성시,명,101,By Administrative District
시군구별,18676,31230,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gimpo-si,김포시,명,101,By Administrative District
시군구별,31748,31240,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Hwaseong-si,화성시,명,101,By Administrative District
시군구별,17452,31250,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwangju-si,광주시,명,101,By Administrative District
시군구별,13641,31260,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yangju-si,양주시,명,101,By Administrative District
