순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10613,평택시,평택운수,순환123A,214000263,기남방송,214001320,대사1리,214001327,N,20250213
10614,평택시,평택운수,순환123B,214000270,기남방송,214001320,대사1리,214001327,N,20250213
10615,평택시,평택운수,순환311,214000258,지제역동문디이스트5단지,214000581,지제역동문디이스트5단지,214000581,Y,20250213
10616,평택시,협진여객,1150,214000022,지제역차고지,214002019,봉산로터리,231001360,Y,20250213
10617,평택시,송탄여객,5-1,214000227,장당중학교,214001734,미도아파트,214001928,N,20250213
10618,평택시,송탄여객,5-3,214000228,국제대학,214001742,서정리역,214000613,N,20250213
10619,평택시,송탄여객,5-5,214000226,국제대학,214001742,아주2차아파트,214001739,N,20250213
10620,평택시,송탄여객,55,214000224,장당중학교,214001734,삼익2차아파트,214001924,Y,20250213
10621,평택시,송탄여객,88A,241284002,코오롱하늘채아파트북문,214000469,코오롱하늘채아파트북문,214000469,Y,20250213
10622,평택시,송탄여객,88B,241284007,코오롱하늘채아파트북문,214000469,코오롱하늘채아파트북문,214000469,Y,20250213
10623,평택시,율포여객,10,214000195,영화아파트,214002075,신흥마을,214001578,Y,20250213
10624,평택시,율포여객,15,214000197,한국복지대학교,214001136,서정리역,214001836,N,20250213
10625,평택시,율포여객,16,214000198,평택지제역,214001136,서정리역,214002018,Y,20250213
10626,평택시,율포여객,16-1,214000240,평택지제역,214002018,한국복지대학교,214001836,Y,20250213
10627,평택시,율포여객,31,241282012,현대상가,214000338,고덕아너스,214000282,Y,20250213
10628,평택시,율포여객,32,241282013,고덕아너스(중),214000303,서정리역(마을),214001136,Y,20250213
10629,평택시,율포여객,5,214000196,금각1리,214000313,은혜중고.국제대학,214002003,Y,20250213
10630,평택시,율포여객,5-2,214000237,은혜중고.국제대학,214002003,부락산분수공원,214001393,N,20250213
10631,평택시,율포여객,77,214000200,두릉3리,214001797,동막마을,214001834,N,20250213
10632,평택시,율포여객,77-1,214000202,금각1리,214000313,우림아파트,214001499,N,20250213
