연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2017,전북 Jeonbuk,35439,32077,6765,4928,8298,7379,838,343,6990,4984,6626,5648,574,118,2868,2623,1735,998,99,65,281,94,308,100,46,68,362,217,214,218
2017,전남 Jeonnam,36928,36390,7913,6285,9572,8903,677,342,6982,4597,6329,5353,561,88,3176,2547,1903,1218,126,76,476,130,387,113,51,39,384,239,218,171
2017,경북 Gyeongbuk,47003,36223,9269,7127,12386,11933,832,351,9432,6017,9109,6991,875,154,3982,3385,2583,1763,203,125,522,138,545,192,113,87,485,358,203,147
2017,경남 Gyongnam,55222,39023,10120,6947,10626,9855,958,403,8760,5868,9832,7882,1299,277,4161,3614,3196,2222,155,98,554,233,477,180,125,83,584,371,211,174
2017,제주 Jeju,8153,6593,2336,1917,2441,2818,268,115,1782,1353,1926,1602,411,59,653,612,771,484,51,26,175,71,117,44,16,7,101,78,55,69
2018,서울 Seoul,101809,78801,25320,16580,27769,22537,2346,887,16119,10112,24816,16985,4931,867,8452,7913,9761,6864,690,386,1571,559,1685,732,215,172,1747,1052,679,563
2018,부산 Busan,48394,32860,10863,7271,11310,9182,1033,389,7032,4496,11805,8303,1483,288,4237,3899,4013,2923,313,165,746,246,535,217,142,93,675,374,308,225
2018,대구 Daegu,32274,21417,7155,4912,9859,9531,766,280,5951,3878,7637,5362,973,183,3145,2935,2608,1798,145,92,339,103,444,183,81,60,377,263,174,145
2018,인천 Incheon,43293,26826,8317,5439,10231,8726,981,338,6122,3982,7667,5557,1188,227,2255,2452,3025,2272,149,88,467,184,418,206,80,61,498,327,214,181
2018,광주 Gwangju,17324,13806,4347,3009,5139,4565,410,154,3897,2806,3820,3026,635,138,1480,1573,1337,916,94,44,223,84,254,100,36,25,229,138,143,132
2018,대전 Daejeon,19988,13788,4236,2844,5082,4425,409,162,3704,2601,4180,3352,830,154,1569,1570,1524,1045,84,48,222,74,215,89,52,25,252,141,144,118
