C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,57.29,11220,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seocho-gu,서초구,%,101
행정구역별,69.35,11230,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gangnam-gu,강남구,%,101
행정구역별,60.37,11230,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gangnam-gu,강남구,%,101
행정구역별,46.9,11240,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Songpa-gu,송파구,%,101
행정구역별,37.44,11240,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Songpa-gu,송파구,%,101
행정구역별,30.35,11250,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gangdong-gu,강동구,%,101
행정구역별,25.56,11250,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gangdong-gu,강동구,%,101
행정구역별,46.19,1224,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangju,광주광역시,%,101
행정구역별,42.32,1224,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangju,광주광역시,%,101
행정구역별,17.26,1224010,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,15.55,1224010,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Dong-gu,동구,%,101
행정구역별,20.94,1224020,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,17.03,1224020,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seo-gu,서구,%,101
행정구역별,14.36,1224030,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,13.98,1224030,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Nam-gu,남구,%,101
행정구역별,15.92,1224040,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Buk-gu,북구,%,101
행정구역별,13.35,1224040,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Buk-gu,북구,%,101
행정구역별,22.84,1224050,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangsan-gu,광산구,%,101
행정구역별,20.59,1224050,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gwangsan-gu,광산구,%,101
