C1_OBJ_NM,DT,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,UNIT_NM_ENG
행정구역별,563058,11160,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangseo-gu,강서구,명,101,
행정구역별,18.1,11160,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangseo-gu,강서구,%,101, 
행정구역별,78377,11170,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Guro-gu,구로구,명,101,
행정구역별,392405,11170,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Guro-gu,구로구,명,101,
행정구역별,20,11170,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Guro-gu,구로구,%,101, 
행정구역별,44531,11180,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Geumcheon-gu,금천구,명,101,
행정구역별,227481,11180,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Geumcheon-gu,금천구,명,101,
행정구역별,19.6,11180,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Geumcheon-gu,금천구,%,101, 
행정구역별,65843,11190,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongdeungpo-gu,영등포구,명,101,
행정구역별,374794,11190,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongdeungpo-gu,영등포구,명,101,
행정구역별,17.6,11190,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Yeongdeungpo-gu,영등포구,%,101, 
행정구역별,70089,11200,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Dongjak-gu,동작구,명,101,
행정구역별,378769,11200,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Dongjak-gu,동작구,명,101,
행정구역별,18.5,11200,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Dongjak-gu,동작구,%,101, 
행정구역별,84762,11210,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwanak-gu,관악구,명,101,
행정구역별,481956,11210,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwanak-gu,관악구,명,101,
행정구역별,17.6,11210,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwanak-gu,관악구,%,101, 
행정구역별,65541,11220,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Seocho-gu,서초구,명,101,
행정구역별,407664,11220,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Seocho-gu,서초구,명,101,
행정구역별,16.1,11220,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Seocho-gu,서초구,%,101, 
행정구역별,86434,11230,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangnam-gu,강남구,명,101,
행정구역별,544873,11230,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangnam-gu,강남구,명,101,
행정구역별,15.9,11230,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangnam-gu,강남구,%,101, 
행정구역별,108643,11240,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Songpa-gu,송파구,명,101,
행정구역별,654166,11240,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Songpa-gu,송파구,명,101,
행정구역별,16.6,11240,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Songpa-gu,송파구,%,101, 
행정구역별,82815,11250,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangdong-gu,강동구,명,101,
행정구역별,459167,11250,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangdong-gu,강동구,명,101,
행정구역별,18,11250,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangdong-gu,강동구,%,101, 
행정구역별,233878,1224,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangju,광주광역시,명,101,
행정구역별,1419237,1224,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangju,광주광역시,명,101,
행정구역별,16.5,1224,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangju,광주광역시,%,101, 
행정구역별,24239,1224010,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Dong-gu,동구,명,101,
행정구역별,107176,1224010,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Dong-gu,동구,명,101,
행정구역별,22.6,1224010,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Dong-gu,동구,%,101, 
행정구역별,48395,1224020,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Seo-gu,서구,명,101,
행정구역별,283991,1224020,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Seo-gu,서구,명,101,
행정구역별,17,1224020,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Seo-gu,서구,%,101, 
행정구역별,42485,1224030,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Nam-gu,남구,명,101,
행정구역별,209646,1224030,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Nam-gu,남구,명,101,
행정구역별,20.3,1224030,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Nam-gu,남구,%,101, 
행정구역별,74406,1224040,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Buk-gu,북구,명,101,
행정구역별,421683,1224040,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Buk-gu,북구,명,101,
행정구역별,17.6,1224040,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Buk-gu,북구,%,101, 
행정구역별,44353,1224050,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangsan-gu,광산구,명,101,
행정구역별,396741,1224050,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangsan-gu,광산구,명,101,
