연도,지역,자치단체,세부사업명,예산현액,국비,시도비,시군구비,지출액,집행잔액
2023,부산,본청,무가선 저상트램 실증사업(국가직접지원),7000000000,0,0,0,7000000000,0
2023,대구,본청,저상버스 도입,14870216000,5704000000,9166216000,0,9781355330,5088860670
2023,인천,본청,저상버스 도입보조,18186000000,9093000000,9093000000,0,9752000000,8434000000
2023,광주,본청,저상버스도입(보조),9169000000,4140000000,5029000000,0,8466350000,702650000
2023,광주,본청,저상버스도입(자체),2020000,0,2020000,0,1516000,504000
2023,대전,본청,저상버스 구입 보조,7630000000,3815000000,3815000000,0,5182000000,2448000000
2023,울산,본청,저상버스 구입 보조,4232000000,2116000000,2116000000,0,2116000000,2116000000
2023,세종,본청,저상버스 도입,6900000000,3450000000,3450000000,0,2576000000,4324000000
2023,경기,본청,2층 저상버스 보급 지원(국비/지원),2714000000,1840000000,874000000,0,2714000000,0
2023,경기,본청,저상버스 도입보조(국비/지원),111596575000,97040500000,14556075000,0,111596575000,0
2023,경기,본청,저상버스 운영비 지원(자체/지원),1030500000,0,1030500000,0,856250000,174250000
2023,경기,수원시,2층 저상버스 도입(국비),1380000000,736000000,322000000,322000000,1380000000,0
2023,경기,수원시,저상버스 도입(국비),13176700000,6377849600,956850400,5842000000,7820000000,5356700000
2023,경기,수원시,저상버스 운영비 지원(도비),1280000000,0,128000000,1152000000,772500000,507500000
2023,경기,성남시,저상버스 도입보조,18938000000,9469000000,1420350000,8048650000,11316000000,7622000000
2023,경기,성남시,저상버스 운영지원,385000000,0,38500000,346500000,282500000,102500000
2023,경기,고양시,2층 저상버스 보급 지원,460000000,230000000,115000000,115000000,460000000,0
2023,경기,고양시,저상버스 도입 보조 지원,19329000000,9522000000,1513800000,8293200000,15463500000,3865500000
2023,경기,용인시,2층 저상버스 보급 지원,460000000,230000000,115000000,115000000,460000000,0
2023,경기,용인시,저상버스 도입보조,14260000000,7130000000,1069500000,6060500000,13800000000,460000000
2023,경기,용인시,저상버스 운영비 지원사업,147500000,0,14750000,132750000,147500000,0
2023,경기,부천시,저상버스 도입보조,21160000000,10580000000,1587000000,8993000000,14076000000,7084000000
2023,경기,부천시,저상버스 운영지원,820000000,0,246000000,574000000,720000000,100000000
2023,경기,안산시,2층저상버스도입지원,276000000,138000000,69000000,69000000,276000000,0
2023,경기,안산시,저상버스도입지원,12880000000,6440000000,966000000,5474000000,2668000000,10212000000
2023,경기,안양시,저상버스 도입보조,18492000000,9246000000,1386900000,7859100000,6992000000,11500000000
2023,경기,안양시,저상버스 운영보조,312500000,0,62500000,250000000,275000000,37500000
2023,경기,남양주시,저상버스 도입비 지원,7439000000,3719500000,557925000,3161575000,4509000000,2930000000
2023,경기,남양주시,저상버스 운영비 지원,112500000,0,45000000,67500000,102500000,10000000
2023,경기,화성시,2층 저상버스 보급 지원,368000000,184000000,92000000,92000000,368000000,0
2023,경기,화성시,저상버스 도입비 지원,13560000000,6780000000,1017000000,5763000000,4048000000,9512000000
2023,경기,화성시,저상버스 운영비 지원,130000000,0,13000000,117000000,130000000,0
2023,경기,평택시,2층 저상버스 보급 지원(국비),92000000,46000000,23000000,23000000,92000000,0
2023,경기,평택시,저상버스 구입비 지원(국비),8648000000,4324000000,648600000,3675400000,7268000000,1380000000
2023,경기,평택시,저상버스 운영지원(도비),147500000,0,29500000,118000000,112500000,35000000
2023,경기,시흥시,저상버스 도입,1380000000,690000000,103500000,586500000,0,1380000000
2023,경기,시흥시,저상버스 운영 지원,52500000,0,10500000,42000000,37500000,15000000
2023,경기,파주시,저상버스 구입 보조,10580000000,5290000000,793500000,4496500000,4002000000,6578000000
2023,경기,파주시,저상버스 운영 지원,162500000,0,65000000,97500000,50000000,112500000
2023,경기,광명시,저상버스 구입비 지원,3801000000,1900500000,285075000,1615425000,2725000000,1076000000
2023,경기,광명시,저상버스 운영비 지원,10000000,0,3000000,7000000,10000000,0
2023,경기,김포시,저상버스 도입보조,4876000000,2438000000,365700000,2072300000,460000000,4416000000
2023,경기,김포시,저상버스 운영비 지원,227500000,0,45500000,182000000,147500000,80000000
2023,경기,군포시,저상버스 구입비 지원(국도시),5075000000,2537500000,380625000,2156875000,3362000000,1713000000
2023,경기,광주시,저상버스 도입·운영비,6170500000,2944000000,554600000,2671900000,6093000000,77500000
2023,경기,이천시,저상버스 구입비 지원(보조),1472000000,736000000,110400000,625600000,1472000000,0
2023,경기,이천시,저상버스 운영비 지원(보조),0,0,0,0,0,0
2023,경기,이천시,"저상버스 운영비 지원(자치단체간부담금, 광주시)",0,0,0,0,0,0
2023,경기,양주시,저상버스 구입비 지원,5704000000,2852000000,427800000,2424200000,2760000000,2944000000
2023,경기,양주시,저상버스 운영비 지원,80000000,0,32000000,48000000,75000000,5000000
2023,경기,오산시,2층 저상버스 도입지원비,368000000,184000000,92000000,92000000,368000000,0
2023,경기,오산시,저상버스 도입 지원비,3680000000,1840000000,276000000,1564000000,2484000000,1196000000
2023,경기,오산시,저상버스 운영비 지원,10000000,0,3000000,7000000,10000000,0
2023,경기,구리시,저상버스 구입비 지원,2888800000,1444400000,216660000,1227740000,2060800000,828000000
2023,경기,구리시,저상버스 운영비 지원사업,5000000,0,1500000,3500000,5000000,0
2023,경기,안성시,2층 저상버스 보급 지원,92000000,46000000,23000000,23000000,92000000,0
2023,경기,안성시,저상버스 도입 보조,1840000000,920000000,138000000,782000000,1840000000,0
2023,경기,안성시,저상버스 운영 지원금,25000000,0,10000000,15000000,25000000,0
2023,경기,포천시,저상버스 도입 보조,439000000,219500000,32925000,186575000,255000000,184000000
2023,경기,포천시,저상버스 운영 지원,105000000,0,52500000,52500000,92500000,12500000
2023,경기,의왕시,저상버스 구입비 지원,2024000000,1012000000,151800000,860200000,1196000000,828000000
2023,경기,여주시,저상버스 도입 지원사업,644000000,322000000,48300000,273700000,460000000,184000000
2023,경기,동두천시,저상버스 지원,736000000,368000000,55200000,312800000,736000000,0
2023,경기,과천시,저상버스 구입비 지원(국비),1932000000,966000000,144900000,821100000,1288000000,644000000
2023,경기,양평군,저상버스 구입비 지원(보조),1012000000,506000000,75900000,430100000,368000000,644000000
2023,경기,가평군,저상버스 도입,92000000,42500000,6375000,43125000,0,92000000
2023,강원,본청,저상버스 도입보조(국고),2967250000,2282500000,684750000,0,2967250000,0
2023,강원,춘천시,저상버스 도입지원,7628362000,1104000000,331200000,6193162000,6375917600,1252444400
2023,강원,원주시,저상버스 도입 보조(국고),1564000000,782000000,234600000,547400000,539000000,1025000000
2023,강원,강릉시,저상버스 도입지원,920000000,460000000,138000000,322000000,644000000,276000000
2023,강원,속초시,저상버스 도입,0,0,0,0,0,0
2023,강원,홍천군,저상버스 도입보조,184000000,92000000,27600000,64400000,184000000,0
2023,강원,평창군,저상버스도입 보조사업 (보조),0,0,0,0,0,0
2023,강원,양구군,저상버스 도입보조 사업,0,0,0,0,0,0
2023,충북,본청,저상버스 도입보조,9385000000,3634000000,5751000000,0,9385000000,0
2023,충북,청주시,저상버스도입 보조,920000000,460000000,230000000,230000000,920000000,0
2023,충북,충주시,수소저상 시내버스 긴급대체운행,68000000,0,0,68000000,54081000,13919000
2023,충북,충주시,수소저상버스 구입지원(국토부),1280000000,184000000,548000000,548000000,1256422400,23577600
2023,충북,충주시,수소저상버스 구입지원(환경부),840000000,840000000,0,0,840000000,0
2023,충북,충주시,전기저상버스 구입지원(국토부),1280000000,184000000,292000000,804000000,0,1280000000
2023,충북,충주시,전기저상버스 구입지원(환경부),280000000,280000000,0,0,0,280000000
2023,충남,본청,저상버스 도입 지원,4278000000,4278000000,0,0,4278000000,0
2023,충남,천안시,저상버스 구입비 보조,5334000000,2208000000,0,3126000000,3444000000,1890000000
2023,충남,공주시,전기저상버스 도입지원(국토교통부),736000000,368000000,0,368000000,736000000,0
2023,충남,공주시,전기저상버스 도입지원(환경부),564000000,210000000,150000000,204000000,397860000,166140000
2023,충남,보령시,저상버스 구입,552000000,276000000,0,276000000,552000000,0
2023,충남,아산시,시내버스 저상버스 도입운영,2505820000,1150000000,0,1355820000,2505820000,0
2023,충남,서산시,"시내버스(공영, 저상) 도입 지원(보조)",0,0,0,0,0,0
2023,충남,서산시,"시내버스(공영, 저상) 도입 지원(자체)",0,0,0,0,0,0
2023,충남,논산시,저상버스 도입 지원,368000000,184000000,0,184000000,368000000,0
2023,충남,계룡시,시내버스 대폐차(저상버스) 보조금 지원사업,276000000,138000000,0,138000000,276000000,0
2023,충남,당진시,저상버스 도입 지원,552000000,276000000,0,276000000,552000000,0
2023,충남,서천군,저상버스 도입지원 사업,92000000,46000000,0,46000000,0,92000000
2023,충남,청양군,저상버스 도입지원,0,0,0,0,0,0
2023,충남,태안군,저상버스 운영 지원,0,0,0,0,0,0
2023,전북,본청,교통약자이용 저상버스 승강장 시설 개선사업,94500000,0,94500000,0,94500000,0
2023,전북,본청,저상버스 도입비 지원,5313000000,3542000000,1771000000,0,5313000000,0
2023,전북,본청,저상버스 운영비 지원,278400000,0,278400000,0,276000000,2400000
2023,전북,전주시,교통약자 저상버스 운영,588000000,0,176400000,411600000,535713000,52287000
2023,전북,전주시,저상버스 도입보조,5202000000,2601000000,1300500000,1300500000,4692000000,510000000
2023,전북,전주시,저상버스 승강장 시설개선,135000000,0,40500000,94500000,135000000,0
2023,전북,군산시,교통약자 이동편의 증진사업(저상버스 운영),176000000,0,52800000,123200000,176000000,0
2023,전북,군산시,저상버스 도입보조,2024000000,1012000000,506000000,506000000,2024000000,0
2023,전북,군산시,저상버스 승강장 시설개선 사업,90000000,0,27000000,63000000,84408240,5591760
2023,전북,익산시,저상버스 운영비 지원,132000000,0,39600000,92400000,132000000,0
2023,전북,익산시,저상버스도입 보조,1196000000,598000000,299000000,299000000,828000000,368000000
2023,전북,정읍시,전기저상버스 도입(환경부),0,0,0,0,0,0
2023,전북,김제시,저상버스 도입보조(보조),552000000,276000000,138000000,138000000,0,552000000
2023,전북,김제시,저상버스 운영(보조),15000000,0,4500000,10500000,0,15000000
2023,전북,완주군,저상버스 승강장 개선,57145800,0,17143740,40002060,54277020,2868780
2023,전북,무주군,저상버스 승강장 시설개선사업,15000000,0,4500000,10500000,15000000,0
2023,전북,부안군,저상버스 지원,890000000,230000000,115000000,545000000,778000000,112000000
2023,전남,본청,교통약자용 저상버스 구입,4278000000,2852000000,1426000000,0,4278000000,0
2023,전남,목포시,저상버스 도입 보조사업,362000000,0,0,362000000,362000000,0
2023,전남,여수시,저상버스 구입비 지원,2300000000,1150000000,575000000,575000000,920000000,1380000000
2023,전남,순천시,교통약자용 저상버스 구입,644000000,322000000,161000000,161000000,276000000,368000000
2023,전남,나주시,중형 저상버스 도입 지원사업(국토부),460000000,230000000,115000000,115000000,0,460000000
2023,전남,광양시,저상버스 구입 및 운영 지원,1112000000,506000000,253000000,353000000,652000000,460000000
2023,전남,구례군,저상버스 구입 지원,0,0,0,0,0,0
2023,전남,보성군,저상버스(농어촌버스) 도입 지원사업(국비),184000000,92000000,46000000,46000000,0,184000000
2023,전남,화순군,저상버스 도입 지원,644000000,322000000,161000000,161000000,644000000,0
2023,전남,영암군,저상버스 도입,85000000,42500000,21250000,21250000,0,85000000
2023,전남,영광군,저상버스 도입지원,1188000000,552000000,276000000,360000000,733600000,454400000
2023,전남,완도군,저상버스 도입 지원사업,184000000,92000000,46000000,46000000,0,184000000
2023,경북,본청,교통약자를위한저상버스구입지원,2332200000,1794000000,538200000,0,2332200000,0
2023,경북,포항시,교통약자를위한저상버스구입지원<보조>,920000000,460000000,138000000,322000000,920000000,0
2023,경북,포항시,교통약자이동편의증진지원(저상버스운영지원)<보조>,530000000,0,159000000,371000000,520000000,10000000
2023,경북,경주시,(국비)교통약자를 위한 저상버스 구입지원,460000000,230000000,69000000,161000000,460000000,0
2023,경북,경주시,(도비)저상버스운영비지원,125000000,0,37500000,87500000,125000000,0
2023,경북,김천시,저상버스 운영지원,135000000,0,40500000,94500000,135000000,0
2023,경북,안동시,[도]저상버스운영비지원,80000000,0,24000000,56000000,80000000,0
2023,경북,구미시,저상버스도입보조,184000000,92000000,27600000,64400000,0,184000000
2023,경북,영천시,국)교통약자를위한저상버스구입지원,1106000000,276000000,82800000,747200000,1106000000,0
